,timestamp,source host,destination,username
0,2022-02-02 00:00:00,Mac-132,srv-717,Janice Sanchez
143,2022-02-02 00:02:00,mac-53,esx-784,Tim Sweet
286,2022-02-02 00:05:00,Mac-276,srv-240,Prudence Stevens
429,2022-02-02 00:08:00,esx-61,server391,Aaron Allen
72,2022-02-02 00:11:00,mac-202,comp 517,William Patrick
215,2022-02-02 00:14:00,Comp 546,comp 338,Carolyn West
358,2022-02-02 00:17:00,server152,srv-54,Bernard Lee
1,2022-02-02 00:20:00,Mac-549,server549,Calvin Maize
144,2022-02-02 00:23:00,mac-767,esx-1,Shirley Stanislawski
287,2022-02-02 00:25:00,Server-machine-722,comp 650,James Cox
430,2022-02-02 00:28:00,esx-156,Server-machine-723,Walter Holley
73,2022-02-02 00:31:00,mac-703,comp 518,Juanita Robertson
216,2022-02-02 00:34:00,comp 464,srv-804,Michael Taylor
359,2022-02-02 00:37:00,srv-482,srv-3,Michael Wooden
2,2022-02-02 00:40:00,Server-machine-458,Server-machine-878,Carolyn Liptrot
145,2022-02-02 00:43:00,Comp 340,esx-468,Virginia Davis
288,2022-02-02 00:46:00,Mac-740,comp 271,Paula Crader
431,2022-02-02 00:48:00,Server-machine-547,Mac-290,Ofelia Mullins
74,2022-02-02 00:51:00,Mac-617,mac-629,Catherine Howell
217,2022-02-02 00:54:00,Comp 349,esx-167,Rose Bandy
360,2022-02-02 00:57:00,Mac-535,Comp 665,Lindsey Lewis
3,2022-02-02 01:00:00,mac-298,esx-200,Nola Arango
146,2022-02-02 01:03:00,comp 100,Mac-266,Altagracia Jurist
289,2022-02-02 01:06:00,comp 873,Server-machine-498,Brandi Dickerson
432,2022-02-02 01:09:00,esx-726,server538,Jerri Billman
75,2022-02-02 01:12:00,Mac-537,server204,Rhonda Smalley
218,2022-02-02 01:14:00,srv-302,Server-machine-734,Michael Tabor
361,2022-02-02 01:17:00,Server-machine-241,srv-857,Kenya Armstrong
4,2022-02-02 01:20:00,mac-26,Server-machine-658,Geoffrey Andrews
147,2022-02-02 01:23:00,Comp 961,Comp 527,Julio Cruz
290,2022-02-02 01:26:00,Comp 393,Comp 317,James Macdougall
433,2022-02-02 01:29:00,Mac-792,Server-machine-958,Joshua Lee
76,2022-02-02 01:32:00,mac-969,Server-machine-339,Johnny Vick
219,2022-02-02 01:35:00,Server-machine-742,Comp 195,Corey Tomlinson
362,2022-02-02 01:37:00,Comp 425,esx-272,Gina Ritter
